n,effect_size,power
50,0.0,0.0525
50,0.0025,0.1485
50,0.005,0.371
50,0.0075,0.633
50,0.01,0.8395
50,0.0125,0.956
50,0.015,0.9895
50,0.0175,0.999
50,0.02,1.0
50,0.0225,1.0
50,0.025,1.0
50,0.0275,1.0
50,0.03,1.0
50,0.0325,1.0
50,0.035,1.0
50,0.0375,1.0
50,0.04,1.0
50,0.0425,1.0
50,0.045,1.0
50,0.0475,1.0
50,0.05,1.0
100,0.0,0.0495
100,0.0025,0.2485
100,0.005,0.573
100,0.0075,0.864
100,0.01,0.98
100,0.0125,0.998
100,0.015,1.0
100,0.0175,1.0
100,0.02,1.0
100,0.0225,1.0
100,0.025,1.0
100,0.0275,1.0
100,0.03,1.0
100,0.0325,1.0
100,0.035,1.0
100,0.0375,1.0
100,0.04,1.0
100,0.0425,1.0
100,0.045,1.0
100,0.0475,1.0
100,0.05,1.0
195,0.0,0.058
195,0.0025,0.3565
195,0.005,0.8465
195,0.0075,0.989
195,0.01,0.9995
195,0.0125,1.0
195,0.015,1.0
195,0.0175,1.0
195,0.02,1.0
195,0.0225,1.0
195,0.025,1.0
195,0.0275,1.0
195,0.03,1.0
195,0.0325,1.0
195,0.035,1.0
195,0.0375,1.0
195,0.04,1.0
195,0.0425,1.0
195,0.045,1.0
195,0.0475,1.0
195,0.05,1.0
300,0.0,0.047
300,0.0025,0.4885
300,0.005,0.944
300,0.0075,0.999
300,0.01,1.0
300,0.0125,1.0
300,0.015,1.0
300,0.0175,1.0
300,0.02,1.0
300,0.0225,1.0
300,0.025,1.0
300,0.0275,1.0
300,0.03,1.0
300,0.0325,1.0
300,0.035,1.0
300,0.0375,1.0
300,0.04,1.0
300,0.0425,1.0
300,0.045,1.0
300,0.0475,1.0
300,0.05,1.0
500,0.0,0.053
500,0.0025,0.6655
500,0.005,0.9965
500,0.0075,1.0
500,0.01,1.0
500,0.0125,1.0
500,0.015,1.0
500,0.0175,1.0
500,0.02,1.0
500,0.0225,1.0
500,0.025,1.0
500,0.0275,1.0
500,0.03,1.0
500,0.0325,1.0
500,0.035,1.0
500,0.0375,1.0
500,0.04,1.0
500,0.0425,1.0
500,0.045,1.0
500,0.0475,1.0
500,0.05,1.0
