variant,lambda_dd,lambda_evt,mdd_mean,mdd_std,mdd_min,mdd_max,cagr_mean,sharpe_mean,calmar_mean,sortino_mean,cdar_95_mean,n_seeds
V1,0.5,0.0,0.0643,0.0077,0.0556,0.0702,0.0986,0.8887,1.5874,1.2826,0.057,3
V1,1.0,0.0,0.0693,0.0053,0.0654,0.0754,0.0945,0.8593,1.3808,1.2506,0.0625,3
V1,2.0,0.0,0.0606,0.0036,0.0574,0.0644,0.1084,0.9875,1.7957,1.3938,0.0555,3
V1,5.0,0.0,0.0622,0.0026,0.0592,0.0637,0.128,1.154,2.0645,1.6309,0.055,3
V4,0.5,0.1,0.0685,0.0036,0.0643,0.071,0.0946,0.8645,1.405,1.2331,0.0635,3
V4,0.5,0.5,0.0583,0.0043,0.0557,0.0633,0.12,1.0767,2.1009,1.5491,0.0546,3
V4,0.5,1.0,0.0614,0.0045,0.0564,0.0648,0.1269,1.1393,2.0932,1.6264,0.0543,3
V4,0.5,2.0,0.0589,0.0036,0.0553,0.0626,0.1353,1.2012,2.3194,1.7188,0.0533,3
V4,0.5,5.0,0.0573,0.0007,0.0565,0.0578,0.157,1.3824,2.7399,2.0081,0.0508,3
V4,1.0,0.1,0.0642,0.0047,0.0592,0.0685,0.122,1.0961,1.9132,1.567,0.0581,3
V4,1.0,0.5,0.0669,0.0127,0.0584,0.0816,0.1094,0.9923,1.7407,1.4248,0.0601,3
V4,1.0,1.0,0.0642,0.0022,0.0617,0.0655,0.1136,1.025,1.7786,1.4714,0.0568,3
V4,1.0,2.0,0.059,0.0014,0.0581,0.0607,0.1514,1.3267,2.5592,1.9051,0.0521,3
V4,1.0,5.0,0.0575,0.0026,0.0546,0.0596,0.157,1.3808,2.7416,1.9983,0.0509,3
V4,2.0,0.1,0.0621,0.0033,0.0598,0.0659,0.1146,1.0382,1.8644,1.5024,0.0558,3
V4,2.0,0.5,0.0613,0.0041,0.0574,0.0655,0.1169,1.0498,1.9477,1.5085,0.0572,3
V4,2.0,1.0,0.0639,0.0007,0.0631,0.0644,0.1155,1.0451,1.8103,1.4968,0.0572,3
V4,2.0,2.0,0.0567,0.0012,0.056,0.0581,0.154,1.3478,2.7142,1.9338,0.051,3
V4,2.0,5.0,0.0578,0.002,0.056,0.0599,0.1618,1.4144,2.7984,2.0401,0.0515,3
V4,5.0,0.1,0.0634,0.0088,0.0574,0.0735,0.122,1.0942,1.9624,1.5616,0.057,3
V4,5.0,0.5,0.0611,0.0004,0.0606,0.0615,0.1228,1.1097,2.0112,1.5861,0.053,3
V4,5.0,1.0,0.0601,0.0039,0.0557,0.0633,0.1429,1.2658,2.3953,1.8055,0.0522,3
V4,5.0,2.0,0.0585,0.0047,0.0539,0.0633,0.1534,1.3509,2.6492,1.9386,0.0515,3
V4,5.0,5.0,0.0586,0.0015,0.0569,0.0599,0.1633,1.4273,2.7912,2.052,0.0514,3
