market,model,alpha,kupiec_violations,kupiec_n,kupiec_rate,kupiec_expected_rate,kupiec_stat,kupiec_pvalue,chr_stat,chr_pvalue
DJIA,Empirical,0.95,181,4027,0.044946610379935435,0.050000000000000044,2.237806012193687,0.13467194571639374,23.264008439742227,1.4121809157607856e-06
DJIA,Normal,0.95,3841,4027,0.9538117705487956,0.050000000000000044,21525.11158463086,0.0,3.193830667459281,0.07391661399269223
DJIA,EVT_POT,0.95,178,4027,0.044201638937174076,0.050000000000000044,2.9612637652326157,0.08528126145630976,24.491212940763177,7.464950672053661e-07
DJIA,Empirical,0.99,58,4027,0.014402781226719643,0.010000000000000009,6.939970297458544,0.008429051284914446,18.81863925376649,1.4375536154020985e-05
DJIA,Normal,0.99,3967,4027,0.9851005711447728,0.010000000000000009,35914.752847061674,0.0,9.589574159076761,0.001956853254860058
DJIA,EVT_POT,0.99,48,4027,0.011919543084181774,0.010000000000000009,1.4120443040652617,0.23471732340890517,24.038352748980518,9.443577405621184e-07
SP50,Empirical,0.95,178,4027,0.044201638937174076,0.050000000000000044,2.9612637652326157,0.08528126145630976,35.886506096501805,2.0915222886941365e-09
SP50,Normal,0.95,3848,4027,0.9555500372485721,0.050000000000000044,21609.001667957582,0.0,8.717443589209495,0.0031517968111665073
SP50,EVT_POT,0.95,177,4027,0.043953315122920285,0.050000000000000044,3.225844325865296,0.07248440838970494,36.41472129389663,1.594939957882957e-09
SP50,Empirical,0.99,61,4027,0.015147752669481004,0.010000000000000009,9.310563032560822,0.002278364559473167,27.108867204148687,1.923137963322219e-07
SP50,Normal,0.99,3961,4027,0.98361062825925,0.010000000000000009,35809.90438174102,0.0,4.892577315068266,0.02697239258667916
SP50,EVT_POT,0.99,52,4027,0.01291283834119692,0.010000000000000009,3.160788765990887,0.07542673169730851,27.19665033285621,1.8377680077730218e-07
IBEX,Empirical,0.95,198,4099,0.048304464503537446,0.050000000000000044,0.2507863704606166,0.6165219133680582,24.573218274251417,7.153912351398617e-07
IBEX,Normal,0.95,3951,4099,0.9638936325933154,0.050000000000000044,22413.767814532774,0.0,15.438096986158826,8.525219059918321e-05
IBEX,EVT_POT,0.95,198,4099,0.048304464503537446,0.050000000000000044,0.2507863704606166,0.6165219133680582,22.149852318998057,2.52175366832752e-06
IBEX,Empirical,0.99,45,4099,0.010978287387167602,0.010000000000000009,0.3840558367406999,0.5354405742702957,10.28857783957731,0.0013385621740009679
IBEX,Normal,0.99,4056,4099,0.9895096364967065,0.010000000000000009,36880.52990331238,0.0,,
IBEX,EVT_POT,0.99,43,4099,0.010490363503293486,0.010000000000000009,0.0979861321737161,0.7542598707536603,6.582457731496046,0.010298859567776097
